Fecha,Predicciones
10/4/2012,1243.02
10/5/2012,1268.65
10/6/2012,365.94
10/7/2012,3.06
10/8/2012,716.45
10/9/2012,1081.04
10/10/2012,1219.08
10/11/2012,1243.02
10/12/2012,1268.65
10/13/2012,365.94
10/14/2012,3.06
10/15/2012,716.45
10/16/2012,1081.04
10/17/2012,1219.08
10/18/2012,1243.02
10/19/2012,1268.65
10/20/2012,365.94
10/21/2012,3.06
10/22/2012,716.45
10/23/2012,1081.04
10/24/2012,1219.08
10/25/2012,1243.02
10/26/2012,1268.65
10/27/2012,365.94
10/28/2012,3.06
10/29/2012,716.45
10/30/2012,1081.04
10/31/2012,1219.08
11/1/2012,1259.64
11/2/2012,1285.60
11/3/2012,370.83
11/4/2012,3.10
11/5/2012,726.02
11/6/2012,1095.48
11/7/2012,1235.37
11/8/2012,1259.64
11/9/2012,1285.60
11/10/2012,370.83
11/11/2012,3.10
11/12/2012,726.02
11/13/2012,1095.48
11/14/2012,1235.37
11/15/2012,1259.64
11/16/2012,1285.60
11/17/2012,370.83
11/18/2012,3.10
11/19/2012,726.02
11/20/2012,1095.48
11/21/2012,1235.37
11/22/2012,1259.64
11/23/2012,1285.60
11/24/2012,370.83
11/25/2012,3.10
11/26/2012,726.02
11/27/2012,1095.48
11/28/2012,1235.37
11/29/2012,1259.64
11/30/2012,1285.60
12/1/2012,495.16
12/2/2012,4.14
12/3/2012,969.43
12/4/2012,1462.76
12/5/2012,1649.54
12/6/2012,1681.94
12/7/2012,1716.61
12/8/2012,495.16
12/9/2012,4.14
12/10/2012,969.43
12/11/2012,1462.76
12/12/2012,1649.54
12/13/2012,1681.94
12/14/2012,1716.61
12/15/2012,495.16
12/16/2012,4.14
12/17/2012,969.43
12/18/2012,1462.76
12/19/2012,1649.54
12/20/2012,1681.94
12/21/2012,1716.61
12/22/2012,495.16
12/23/2012,4.14
12/24/2012,969.43
12/25/2012,1462.76
12/26/2012,1649.54
12/27/2012,1681.94
12/28/2012,1716.61
12/29/2012,495.16
12/30/2012,4.14
12/31/2012,969.43
1/1/2013,865.70
1/2/2013,976.25
1/3/2013,995.42
1/4/2013,1015.94
1/5/2013,293.05
1/6/2013,2.45
1/7/2013,573.74
